prompt,prompt_len,target
The following is a multiple choice question. Context: Riley began another relationship after being in a long-term broken relationship that was soul sucking.| Question: What will Riley want to do next?| Option A: move on| Option B: suck souls| Option C: break them. The correct answer is ,63,1
The following is a multiple choice question. Context: Remy liked Alex and asked him out to a dance that was coming up.| Question: How would Remy feel afterwards?| Option A: nervous| Option B: frugal| Option C: caring to alex. The correct answer is ,57,1
"The following is a multiple choice question. Context: Everyone had looks of disbelief on their faces when they heard the teacher announce the quiz, but Ash wasn't surprised at all, and fully understood what was happening.| Question: What will Ash want to do next?| Option A: When the teacher told the class about the quiz, Ash began to cry loudly| Option B: Upon hearing the teacher's words, Ash wanted to pull out his calculator and pencil, and get to work| Option C: As the teacher spoke, Ash decided to flee from the room to escape the test. The correct answer is ",125,2
"The following is a multiple choice question. Context: After a long period of being away and resentful, Alex came into Cameron's life.| Question: How would Alex feel afterwards?| Option A: lazy| Option B: loving of others| Option C: ignored. The correct answer is ",61,2
The following is a multiple choice question. Context: Jordan was playing a game with Sasha and scored a goal.| Question: How would you describe Jordan?| Option A: overjoyed| Option B: exhilarated| Option C: a good player. The correct answer is ,55,3
The following is a multiple choice question. Context: Quinn was located in the Sydney area when a wildfire burned down their house.| Question: What will happen to Quinn?| Option A: move to a new town| Option B: get rebuilt| Option C: fall to ashes. The correct answer is ,62,2
The following is a multiple choice question. Context: Jesse went to twins grandmother's house when she had the stroke in the hospital.| Question: What does Jesse need to do before this?| Option A: Buy her card| Option B: wanted to pay her respects to the grandmother| Option C: By her biking a bike. The correct answer is ,73,1
The following is a multiple choice question. Context: Kendall found it in life and worked out to become the best athlete he could be.| Question: How would you describe Kendall?| Option A: detached| Option B: lazy| Option C: strong. The correct answer is ,57,3
The following is a multiple choice question. Context: Sydney's granny passed away and Sydney was so sad they could not stop crying but Kai came and sat with Syndey and wipes their tears.| Question: Why did Kai do this?| Option A: go to the funeral| Option B: see Sydney crying| Option C: support Sydney. The correct answer is ,75,3
The following is a multiple choice question. Context: Addison covered their eyes with their hands because the movie scene was very terrifying.| Question: What will Addison want to do next?| Option A: walk out of the theater| Option B: bored| Option C: happy. The correct answer is ,61,1
The following is a multiple choice question. Context: Riley gave Quinn a view of the transcript beefore it went public.| Question: What will happen to Riley?| Option A: be shy| Option B: thank Quinn| Option C: be embarassed. The correct answer is ,58,2
The following is a multiple choice question. Context: Sydney surprised their husband with a home cooked meal when they got home from work.| Question: Why did Sydney do this?| Option A: be nice| Option B: make the plates| Option C: avoid talking about their husband's day. The correct answer is ,66,1
The following is a multiple choice question. Context: Austin looked Sydney straight in the eye as he lied in order to make the lie more convincing.| Question: What will happen to Austin?| Option A: will get away with it| Option B: he will ask Sydney to look away| Option C: guilty for lying. The correct answer is ,71,1
The following is a multiple choice question. Context: Quinn paid the association back the money she owed them.| Question: What does Quinn need to do before this?| Option A: doesn't like not paying back debts| Option B: ignore the association| Option C: borrow money. The correct answer is ,64,3
The following is a multiple choice question. Context: Remy got Taylor's bearings together because Taylor couldn't stay calm in a tough situation.| Question: How would Remy feel afterwards?| Option A: collected| Option B: thankful| Option C: chaotic. The correct answer is ,59,2
"The following is a multiple choice question. Context: Sydney had a lot of dietary restrictions. For once, Sydney actually enjoyed the meal from the restaurant.| Question: How would you describe Sydney?| Option A: happy he liked a restruant for once| Option B: a person who found a restaurant they look| Option C: pleased that he enjoyed the meal. The correct answer is ",80,3
The following is a multiple choice question. Context: Aubrey asked Tracy questions about God. She wanted to know as much as possible.| Question: How would you describe Aubrey?| Option A: indifferent| Option B: more informed| Option C: Interested. The correct answer is ,57,3
The following is a multiple choice question. Context: Lee checked online for any new deals for a brand new vacuum.| Question: How would Lee feel afterwards?| Option A: lazy| Option B: conflicted| Option C: smart. The correct answer is ,53,3
The following is a multiple choice question. Context: Alex ate potato vegetables and not a lot of meat.| Question: Why did Alex do this?| Option A: be a vegetarian| Option B: go to sleep| Option C: dislike meat. The correct answer is ,56,3
The following is a multiple choice question. Context: Skylar substituted another class for the math class when it was full.| Question: What will Skylar want to do next?| Option A: drop out of school| Option B: schedule a math class for next term| Option C: get paid more for this inconvenience. The correct answer is ,71,2
"The following is a multiple choice question. Context: Addison best friend spent the night over, so Addison got up early and  made oatmeal for breakfast.| Question: Why did Addison do this?| Option A: buy oatmeal| Option B: go to school early| Option C: impress his best friend. The correct answer is ",67,3
The following is a multiple choice question. Context: Tracy served the tables well and was awarded a tip by the customers.| Question: How would you describe Tracy?| Option A: efficient| Option B: impolite| Option C: jealous of Tracy. The correct answer is ,57,1
"The following is a multiple choice question. Context: Quinn wanted to evict the non-paying tenant, so Quinn served an eviction notice.| Question: What will Quinn want to do next?| Option A: rent to someone else| Option B: get the apartment| Option C: kick them out. The correct answer is ",67,1
"The following is a multiple choice question. Context: Kendall tried to fix their sink on their own, but it took them hours of work.| Question: What does Kendall need to do before this?| Option A: call a plumber| Option B: get tools| Option C: use the sink. The correct answer is ",66,2
The following is a multiple choice question. Context: Sydney stabbed herself in the back when she fell backwards into a cactus.| Question: Why did Sydney do this?| Option A: show off to someone| Option B: hurt herself| Option C: go to the hospital. The correct answer is ,61,2
The following is a multiple choice question. Context: Aubrey tried to find a date for the party and then got Kendall to go with them.| Question: What will Aubrey want to do next?| Option A: leave the party early| Option B: alone| Option C: give Kendall a gift. The correct answer is ,66,3
"The following is a multiple choice question. Context: Skylar visited Kai's new city after he moved away last year, just like he'd promised to do.| Question: How would you describe Skylar?| Option A: very happy Skylar came| Option B: someone who breaks promises| Option C: someone with a great memory. The correct answer is ",76,3
The following is a multiple choice question. Context: Jesse dressed to kill for the interview for the position he wanted the most.| Question: What does Jesse need to do before dressing to kill?| Option A: pick a favorite| Option B: Leave a good first impression| Option C: quit his job. The correct answer is ,68,1
"The following is a multiple choice question. Context: Carson had been hesitant, but lent Riley the car and now Riley had lost Carson's keys.| Question: How would Riley feel afterwards?| Option A: upset at himself| Option B: happy with himself| Option C: proud of himself. The correct answer is ",66,1
The following is a multiple choice question. Context: Sasha took Bailey's word for it because they trusted them.| Question: What will Bailey want to do next?| Option A: lead them on| Option B: go away| Option C: ignore them. The correct answer is ,59,1
The following is a multiple choice question. Context: Bailey watched Remy's dog while Remy went of Vacation.| Question: How would you describe Bailey?| Option A: As someone who cares about Remy| Option B: As someone who knows about Remy| Option C: happy. The correct answer is ,62,1
The following is a multiple choice question. Context: Kendall was walking in a dark alley when she heard strange noises.| Question: How would you describe Kendall?| Option A: afraid for her safety| Option B: happy| Option C: nervous. The correct answer is ,56,3
The following is a multiple choice question. Context: Remy was walking home from school when he found some money. He then took the money to their mom.| Question: How would you describe Remy?| Option A: nervous| Option B: a mean person| Option C: a good person. The correct answer is ,65,3
The following is a multiple choice question. Context: Albright was so happy after he won $1000000 on his lottery ticket.| Question: What will Aubrey want to do next?| Option A: Forget about it| Option B: Cash in the ticket| Option C: Throw it away. The correct answer is ,69,2
"The following is a multiple choice question. Context: In their article, Connecticut gave the reader a thorough analysis of Riley's perspective.| Question: How would you describe Connecticut?| Option A: they have a better understanding of Riley's perspective| Option B: a writer who has interviewed Riley| Option C: they have a new way of perceiving Riley. The correct answer is ",78,2
"The following is a multiple choice question. Context: Ash is a member of the Skylar family, and they are going on a camping trip next weekend.| Question: What will happen to Ash?| Option A: go camping alone| Option B: pitch a tent| Option C: go camping next week. The correct answer is ",68,3
The following is a multiple choice question. Context: Remy took melatonin after several weeks of not being able to sleep right.| Question: What will Remy want to do next?| Option A: buy melatonin| Option B: get a good night of partying| Option C: make sure they have no bad side effects. The correct answer is ,69,3
The following is a multiple choice question. Context: Aubrey has had a sick hamster for days and their parents finally asked if they could put the little pet to sleep. In the morning Aubrey said goodbye to their hamster and sent their hamster to die.| Question: What will Others want to do next?| Option A: see if the hamster will just sleep it off| Option B: see if Aubrey will go for ice cream| Option C: cry over their pet. The correct answer is ,99,3
The following is a multiple choice question. Context: Jan tried to comfort Carson by getting a teddy bear with some chocolate.| Question: How would Carson feel as a result?| Option A: better now| Option B: like a good friend| Option C: indifferent now. The correct answer is ,61,1
The following is a multiple choice question. Context: Tracy had to take the SATs on Saturday and spent the whole week studying.| Question: Why did Tracy do this?| Option A: wanted to get into a good college| Option B: get books| Option C: study. The correct answer is ,63,1
The following is a multiple choice question. Context: Riley poured fuel on the fire to make it shine brighter.| Question: What does Riley need to do before this?| Option A: pour gas on the fire again| Option B: get away from the heat| Option C: sit in front of the fire. The correct answer is ,69,3
"The following is a multiple choice question. Context: In order to gain favor and make an impression, Casey got Jan a present.| Question: How would you describe Casey?| Option A: thankful for the present| Option B: loving and generous| Option C: very manipulative. The correct answer is ",62,3
The following is a multiple choice question. Context: Addison is Kendall's aide and will do anything for Kendall.| Question: Why did Addison do this?| Option A: trying to scuttle Kendall's plan| Option B: carry out Kendall's wishes| Option C: has bought into Kendall's plan. The correct answer is ,71,2
The following is a multiple choice question. Context: Remy surprised their parents by coming home for the weekend.| Question: What will Others want to do next?| Option A: hang out with Remy| Option B: be finished with classes| Option C: drive from school. The correct answer is ,61,1
"The following is a multiple choice question. Context: After looking at many different shirts to choose from, Austin bought a new shirt.| Question: What does Austin need to do before this?| Option A: want to get a new shirt| Option B: stay at home| Option C: expand his wardrobe. The correct answer is ",68,1
The following is a multiple choice question. Context: Taylor pressed Skylar's hands toward the book.| Question: What does Taylor need to do before this?| Option A: needed to go to the movies| Option B: needed a snack| Option C: needed to find Skylar. The correct answer is ,65,3
The following is a multiple choice question. Context: Alex wrote Lee's essay and the teacher found out.| Question: What will happen to Alex?| Option A: be rewarded| Option B: be rewarded| Option C: be punished. The correct answer is ,55,3
The following is a multiple choice question. Context: Jan prevented weight from gaining.| Question: What does Jan need to do before this?| Option A: prevented weight from gaining| Option B: jan too wait| Option C: jan are a fatty. The correct answer is ,57,3
The following is a multiple choice question. Context: Skylar dyed Casey's hair with new colors so that it would look nice.| Question: How would you describe Skylar?| Option A: a mean person| Option B: like a stylist| Option C: a helpful person. The correct answer is ,64,3
The following is a multiple choice question. Context: Alex kept pace with the growth of their plants by giving it water everyday for weeks.| Question: How would Alex feel afterwards?| Option A: kept pace with the growth| Option B: lazy now| Option C: proud now. The correct answer is ,63,3
The following is a multiple choice question. Context: Bailey prevented the geese from going with a soft net trap.| Question: How would you describe Bailey?| Option A: fearful that the geese might try to escape again| Option B: very fond of geese| Option C: excited to show the geese to the kids. The correct answer is ,70,1
The following is a multiple choice question. Context: Kai looked Remy in the eye during the tense negotiations.| Question: Why did Kai do this?| Option A: wanted to see the facts| Option B: listen to Remy| Option C: discuss with Remy. The correct answer is ,59,2
The following is a multiple choice question. Context: Riley restored the garden to normal after many hours toiling away.| Question: How would Riley feel as a result?| Option A: they know how to work the land| Option B: they are a novice farmer| Option C: they don't know how to work the land. The correct answer is ,74,1
"The following is a multiple choice question. Context: Jesse brought the show to a close with an uplifting, crowdpleasing number that received a standing ovation.| Question: How would Jesse feel afterwards?| Option A: talented| Option B: ready to perform an encore| Option C: curious about the song selection. The correct answer is ",69,1
The following is a multiple choice question. Context: Aubrey had the floor and everyone's attention with it.| Question: How would you describe Aubrey?| Option A: nervous about the attention| Option B: afraid of messing up| Option C: an effective speaker. The correct answer is ,60,3
The following is a multiple choice question. Context: Lee was hiding on Quinn as Quinn was coming up the dark stairs then just as they turned the corner Lee jumped out and scared Quinn.| Question: What will Lee want to do next?| Option A: jump backward| Option B: guilty| Option C: scream at Lee. The correct answer is ,72,1
The following is a multiple choice question. Context: Cameron waited to get home to shower and eat something.| Question: What will Cameron want to do next?| Option A: keep working| Option B: eat something| Option C: go to school. The correct answer is ,57,2
The following is a multiple choice question. Context: Ash examined the paperwork closely before deciding whether she wanted to sign it.| Question: How would you describe Ash?| Option A: relieved to find no loopholes| Option B: illiterate| Option C: a careful consumer. The correct answer is ,60,3
The following is a multiple choice question. Context: Quinn completed Jan's work and got paid a hefty sum for his services.| Question: How would Jan feel as a result?| Option A: lazy| Option B: proud| Option C: bored. The correct answer is ,58,2
The following is a multiple choice question. Context: Austin did not want to leave but he had to get home to his children.| Question: How would you describe Austin?| Option A: irresponsible| Option B: indifferent| Option C: responsible. The correct answer is ,56,3
"The following is a multiple choice question. Context: Jesse had partied all night long, drinking and dancing until four in the morning.| Question: How would you describe Jesse?| Option A: straight laced| Option B: ready for bed| Option C: irresponsible. The correct answer is ",60,3
"The following is a multiple choice question. Context: Tracy needed help putting the gloves on, so Remy laced the gloves on Tracy's fingers.| Question: How would Remy feel afterwards?| Option A: helpful| Option B: useless| Option C: like a poor friend. The correct answer is ",62,1
The following is a multiple choice question. Context: Quinn maintained Riley's balance as Riley was about to fall over while walking.| Question: What does Quinn need to do before this?| Option A: leave Riley alone| Option B: help out Riley| Option C: let Riley get hurt. The correct answer is ,66,2
"The following is a multiple choice question. Context: Sydney slow danced with Robin, and kissed Robin's lips.| Question: What will Sydney want to do next?| Option A: be romantic towards Sydney| Option B: run away from Robin| Option C: apologize to Robin. The correct answer is ",63,1
"The following is a multiple choice question. Context: Quinn spent the day at the beach, but her class that evening was cancelled.| Question: Why did Quinn do this?| Option A: enjoyed spending time at the beach| Option B: had an appointment to keep| Option C: Put on sun screen. The correct answer is ",68,1
The following is a multiple choice question. Context: Cameron made Bailey's jaw drop when he quit his job that day.| Question: How would you describe Cameron?| Option A: would be in shock| Option B: quite courageous| Option C: very bored. The correct answer is ,60,2
"The following is a multiple choice question. Context: Riley was bullied in the past, so they hurt others' feelings.| Question: What will Others want to do next?| Option A: Others will go and buy a new watch to celebrate the occasion| Option B: had some anger inside of her| Option C: Others will not pay attention to Riley, hoping he will not hurt their feelings again. The correct answer is ",87,3
The following is a multiple choice question. Context: Casey got the ring they wanted from the store at the mall.| Question: Why did Casey do this?| Option A: Wear the ring on their finger| Option B: wanted the ring| Option C: Show off the ring to people. The correct answer is ,65,1
The following is a multiple choice question. Context: Lee was spending too much money on repairs so he wanted to save as much as possible by shopping around.| Question: What does Lee need to do before this?| Option A: find the best price for repairs| Option B: buy expensive repair parts for quality| Option C: use the next repair shop despite the price. The correct answer is ,81,1
The following is a multiple choice question. Context: Jesse had some medicine left over from when they were sick. Taylor gave Jesse's medicine to them.| Question: What will Jesse want to do afterwards?| Option A: hide it from other people| Option B: check the medicine| Option C: help him get better. The correct answer is ,72,3
The following is a multiple choice question. Context: Skylar went to the ball and had a great time with her date there.| Question: What does Skylar need to do before this?| Option A: know about the ball| Option B: ask their date to drive them home| Option C: go home with their date. The correct answer is ,73,1
The following is a multiple choice question. Context: Carson scraped together a small amount of money to give to a friend in need.| Question: How would you describe Carson?| Option A: uncaring| Option B: thoughtful| Option C: careless. The correct answer is ,57,2
The following is a multiple choice question. Context: Cameron turned Jesse's head so he would meet Cameron's eyes.| Question: What will Jesse want to do next?| Option A: hit Cameron hard| Option B: kiss Cameron| Option C: run away from Cameron. The correct answer is ,63,2
The following is a multiple choice question. Context: Robin had began exercising for a special marathon. Robin gained muscle.| Question: Why did Robin do this?| Option A: eat the proper food| Option B: become more fit for the race| Option C: practice running long distances. The correct answer is ,64,2
The following is a multiple choice question. Context: Ash wanted to make their apartment feel more modern.| Question: What will Ash want to do next?| Option A: assemble the furniture| Option B: destroy the furniture| Option C: needed to assess their apartment. The correct answer is ,60,3
The following is a multiple choice question. Context: Aubrey used some of their construction funds to finance the repairs to the roof of the school building.| Question: How would you describe Aubrey?| Option A: capable of directing the flow of funds| Option B: embezzling school funds| Option C: relieved and ready. The correct answer is ,70,1
The following is a multiple choice question. Context: Kendall had always been afraid of bikes but finally learned how to ride one.| Question: What does Kendall need to do before this?| Option A: buy a car| Option B: teach someone else| Option C: buy a bike. The correct answer is ,64,3
The following is a multiple choice question. Context: Robin shot the bull. She didn't want too but her family needed the food.| Question: How would Robin feel afterwards?| Option A: like she did the right thing| Option B: uplifted by the experience| Option C: like shooting another bull. The correct answer is ,69,1
The following is a multiple choice question. Context: Aubrey stroked Jan's hair and talked about her day at the important job.| Question: What will Aubrey want to do next?| Option A: good| Option B: go to Jan| Option C: passive. The correct answer is ,60,2
The following is a multiple choice question. Context: jesse hosted a party at their house so others could meet new people and have a good time.| Question: How would Others feel as a result?| Option A: annoyed by the party| Option B: bad about socializing| Option C: good about socializing. The correct answer is ,69,3
"The following is a multiple choice question. Context: In Jesse's dream, Austin was controlled by Jesse's subconscious, causing him to do many strange things.| Question: What will happen to Austin?| Option A: keep dreaming| Option B: never find out about Jesse's dream| Option C: be angry that Jesse controlled him. The correct answer is ",76,2
The following is a multiple choice question. Context: Ash suggested Bailey play basketball and helped them practice for the team.| Question: What does Ash need to do before this?| Option A: help Bailey make the team| Option B: buy a ball for Bailey| Option C: make up a practice schedule. The correct answer is ,68,3
"The following is a multiple choice question. Context: Tracy felt terrible about what had happened at the party and wanted to make amends, because Tracy knew they had really hurt Robin.| Question: What does Tracy need to do before this?| Option A: needed to go back to the party| Option B: needed to hurt Robin| Option C: needed to ask for forgiveness. The correct answer is ",81,2
The following is a multiple choice question. Context: Riley and friends were camping and it looked like the camp fire was going out so Riley fanned the flames then added new sticks.| Question: Why did Riley do this?| Option A: keep the fire lit to encourage the wildlife to attack| Option B: make a camp fire| Option C: keep the fire lit to keep everyone warm. The correct answer is ,85,3
The following is a multiple choice question. Context: Jesse bought a new car and took it to the beach with him.| Question: Why did Jesse do this?| Option A: enjoy the car| Option B: sleep in the ocean| Option C: go in the ocean. The correct answer is ,62,1
The following is a multiple choice question. Context: Skylar decided to get married after many years of being afraid.| Question: Why did Skylar do this?| Option A: wanted to get it over with| Option B: enjoy it| Option C: love her husband. The correct answer is ,62,1
"The following is a multiple choice question. Context: Tracy sent an email to their boss from work, but found out later he didn't get it.| Question: How would Tracy feel afterwards?| Option A: excited| Option B: happy| Option C: embarrassed. The correct answer is ",61,3
The following is a multiple choice question. Context: Robin took the money to the counter because she was in too much of a hurry to wait in line.| Question: How would you describe Robin?| Option A: excited to leave| Option B: relaxed| Option C: impatient. The correct answer is ,63,3
The following is a multiple choice question. Context: Ash trained very hard for the games that were coming up.| Question: How would Ash feel afterwards?| Option A: ready| Option B: boring| Option C: lazy. The correct answer is ,52,1
The following is a multiple choice question. Context: Jan used Quinns Id to get access to the building to see them.| Question: How would Quinn feel as a result?| Option A: sneeky| Option B: Glad It was easier for Jan to learn about them| Option C: Glad they could make it easier for Jan. The correct answer is ,74,3
"The following is a multiple choice question. Context: Although Riley's car broke down, she still got back in time for the movie.| Question: How would Riley feel after?| Option A: relieved for making it| Option B: glad to be able to make it to the movie| Option C: disappointed in the movie. The correct answer is ",73,1
The following is a multiple choice question. Context: remy got into a fight with a professional boxer and took a licking and kept on ticking.| Question: What does Remy need to do before this?| Option A: hire a better coach| Option B: be able to take a punch| Option C: be drunk. The correct answer is ,71,2
The following is a multiple choice question. Context: Robin attracted him at the time with a wink and a gorgeous smile.| Question: What does Robin need to do before this?| Option A: hide away| Option B: keep quiet| Option C: be attractive. The correct answer is ,60,3
The following is a multiple choice question. Context: Carson pulled lint out of Tracy's pocket while they were trying to steal something.| Question: What does Carson need to do before this?| Option A: needed to make the pants| Option B: needed to wear the pants| Option C: needed to be sneaky. The correct answer is ,71,3
The following is a multiple choice question. Context: Alex was highly intelligent and taught math at Harvard University.| Question: How would Alex feel afterwards?| Option A: very smart| Option B: scholarly| Option C: very bright. The correct answer is ,53,2
The following is a multiple choice question. Context: Quinn increased their chances by getting more practice in every night for a week.| Question: How would Quinn feel afterwards?| Option A: lazy| Option B: passive| Option C: proud. The correct answer is ,55,3
"The following is a multiple choice question. Context: Taylor and I are neighbors and today, on her way out took my daughter along to her dance class.| Question: What does Taylor need to do before this?| Option A: live close by| Option B: claim her daughter| Option C: snatch the kid. The correct answer is ",70,1
The following is a multiple choice question. Context: Alex bought Jordan a new one and wore the new shoes to the mall that day.| Question: What will happen to Alex?| Option A: get a lot of compliments| Option B: cool| Option C: detached. The correct answer is ,61,1
The following is a multiple choice question. Context: Casey took Austin chances to win the big pot at bingo on Saturday.| Question: Why did Casey do this?| Option A: hang out with Austin| Option B: get some pizza for later| Option C: get some chickens. The correct answer is ,63,1
The following is a multiple choice question. Context: Robin accepted the dare to go to the woods naked for a day.| Question: How would you describe Robin?| Option A: daring and brave| Option B: amused and proud| Option C: feeling dumb. The correct answer is ,59,1
The following is a multiple choice question. Context: Tracy decided to follow their favorite band for the summer. Tracy attended every concert.| Question: What does Tracy need to do before this?| Option A: buy all the band's albums| Option B: get the band's autograph| Option C: get tickets to all the concerts. The correct answer is ,75,3
"The following is a multiple choice question. Context: After spending Christmas vacation in the Bahamas with her family, Remy told her friends about their trip.| Question: Why did Remy do this?| Option A: listen to Remy| Option B: appear interesting and exciting to their friends| Option C: appear introverted and introspective to their friends. The correct answer is ",75,2
The following is a multiple choice question. Context: Carson helped Sydney much in making a new garage from scratch.| Question: How would Carson feel afterwards?| Option A: thankful to Carson| Option B: done| Option C: skilled now. The correct answer is ,55,3
The following is a multiple choice question. Context: Kai blew the wood away to kingdom come yesterday in the back yard.| Question: How would Kai feel afterwards?| Option A: would be mad| Option B: would be upset| Option C: happy. The correct answer is ,58,3
The following is a multiple choice question. Context: Alex would eventually pass after all that hard studying.| Question: What will Alex want to do next?| Option A: don't study| Option B: be rewarded| Option C: study more. The correct answer is ,57,2
The following is a multiple choice question. Context: Bailey called their sibling who was still back home in AZ near the dessert.| Question: What will Bailey do?| Option A: nostalgic| Option B: Baily would like to visit AZ| Option C: see their friend. The correct answer is ,62,2
The following is a multiple choice question. Context: Tracy forced their will upon Ash and made Ash clean the kitchen for a few hours.| Question: What will Ash want to do next?| Option A: bored| Option B: smart| Option C: get Ash to help. The correct answer is ,62,1
"The following is a multiple choice question. Context: Aubrey told the waitress that they'd like another steak, because theirs came out cold.| Question: What will Aubrey want to do next?| Option A: pay extra for their meal| Option B: wait for a new fish to come| Option C: wait for a new steak to come. The correct answer is ",76,3
"The following is a multiple choice question. Context: Jan wanted to measure Addison to make some new clothes, so Jan put cloth on Addison's hips.| Question: What will Jan want to do next?| Option A: stand still so Jan can measure| Option B: use the sewing machine to make clothes| Option C: throw away the cloth. The correct answer is ",77,2
The following is a multiple choice question. Context: Skylar played a game in regulation and they ended up winning.| Question: How would Skylar feel afterwards?| Option A: proud of their team| Option B: disappointed in their team| Option C: The opposing team was deflated by the loss. The correct answer is ,68,1
The following is a multiple choice question. Context: Bailey made Jesse a fortune after he became a private investor for Bailey.| Question: How would you describe Bailey?| Option A: intelligent| Option B: a fast food worker| Option C: lazy. The correct answer is ,57,1
The following is a multiple choice question. Context: Cameron would make fun of Austin often because he was a mean person.| Question: How would Austin feel as a result?| Option A: angry at others for some reason| Option B: happy| Option C: upset. The correct answer is ,61,3
The following is a multiple choice question. Context: Addison went to the store and got some items for her Thanksgiving dinner.| Question: How would you describe Addison?| Option A: very angry| Option B: satisfied about the dinner plan| Option C: on top of things. The correct answer is ,62,3
The following is a multiple choice question. Context: Carson tried and won the competition after practicing for weeks ahead of time.| Question: Why did Carson do this?| Option A: remain unchanged| Option B: avoid attention| Option C: win the competition. The correct answer is ,58,3
The following is a multiple choice question. Context: Jordan adopted a baby because they weren't able to have one of their own.| Question: Why did Jordan do this?| Option A: love the baby| Option B: raise a child| Option C: change diapers. The correct answer is ,62,2
The following is a multiple choice question. Context: Aubrey distinguished plants from the animals when they were at the zoo with others.| Question: Why did Aubrey do this?| Option A: help spot animals| Option B: stay home| Option C: go to the zoo with others. The correct answer is ,63,1
The following is a multiple choice question. Context: Lee and his mother saw a murder occur but was too afraid to talk. Lee and his mother kept their lips sealed.| Question: What does Lee need to do before?| Option A: tell the police| Option B: witness a murder| Option C: find out about it. The correct answer is ,73,2
The following is a multiple choice question. Context: Casey asked what happened at school and was told there was a shooting.| Question: How would Casey feel afterwards?| Option A: suffering from post traumatic stress disorder| Option B: horrified| Option C: happy. The correct answer is ,59,2
The following is a multiple choice question. Context: Cameron was asked to clean the gym. Cameron fulfilled their duty.| Question: How would Cameron feel afterwards?| Option A: like they were despised| Option B: dutiful| Option C: like they were needed. The correct answer is ,60,2
The following is a multiple choice question. Context: Sydney told Jesse they could do the yard work and they would be paid for it.| Question: What will Jesse want to do next?| Option A: refuse to do the yard work| Option B: mow the lawn| Option C: stay home and watch TV. The correct answer is ,70,2
The following is a multiple choice question. Context: Jan spent the afternoon working and went home because they needed rest.| Question: How would you describe Jan?| Option A: abandoned as a result| Option B: As someone that needs some to relax| Option C: As someone that wants the best. The correct answer is ,67,2
The following is a multiple choice question. Context: Skylar tilted Kendall's head back to whisper the secret and they promised never to tell anyone.| Question: How would you describe Skylar?| Option A: gossipy| Option B: committed| Option C: boisterous. The correct answer is ,63,1
The following is a multiple choice question. Context: Tracy held their hat to their chest when they greeted Skylar.| Question: What will happen to Skylar?| Option A: leave with Skylar| Option B: notice their manors| Option C: put the hat back on. The correct answer is ,64,2
"The following is a multiple choice question. Context: Taylor was released from the hospital a few days ago, so she had to take it easy.| Question: What will Taylor want to do next?| Option A: rest| Option B: skydive| Option C: bungee jump. The correct answer is ",64,1
The following is a multiple choice question. Context: Aubrey told false tales about the adventures she took in different lands.| Question: What will happen to Aubrey?| Option A: not believe Aubrey| Option B: smart| Option C: bored. The correct answer is ,55,1
"The following is a multiple choice question. Context: Aubrey was very impulsive and had several addictions, chief among them smoking cigarettes and drinking alcohol. She placed her health at risk with her bad habits.| Question: What did Aubrey do?| Option A: drank alcohol| Option B: ate only green foods| Option C: ran every day. The correct answer is ",74,1
The following is a multiple choice question. Context: Taylor sought an opportunity for Riley after he lost his job.| Question: What does Taylor need to do before this?| Option A: know Riley before this| Option B: eat dinner before this| Option C: be a good friend. The correct answer is ,64,1
"The following is a multiple choice question. Context: Jordan continued to walk to work even after they got a car, because they didn't want to use the gas.| Question: How would you describe Jordan?| Option A: a gas hog| Option B: a roadster| Option C: a frugal individual. The correct answer is ",69,3
"The following is a multiple choice question. Context: Casey kept getting the incantation in the book wrong, so they urged Bailey to accept defeat. Bailey ultimately got the incantation correct and temporarily trapped the spirit in the mirror.| Question: What will Bailey want to do next?| Option A: read the book| Option B: Destroy the mirror so the spirit can be free| Option C: Seal the mirror properly so the spirit can't escape. The correct answer is ",97,3
The following is a multiple choice question. Context: Kai was traveling across the country. Kai took refuge in Jesse's hotel.| Question: What does Kai need to do before this?| Option A: talk to Kai| Option B: have a license| Option C: find the hotel. The correct answer is ,65,3
The following is a multiple choice question. Context: Taylor gave Alex a ride home in her new car after school last week.| Question: What will happen to Taylor?| Option A: have listen to Alex´s stories| Option B: buy Alex an ice cream| Option C: drop Alex off in the first entrance. The correct answer is ,71,3
The following is a multiple choice question. Context: Remy left their bed because it was hot and they were getting sweaty.| Question: Why did Remy do this?| Option A: Go to sleep somewhere else| Option B: Take a shower to remove the sweat| Option C: cool off. The correct answer is ,65,3
The following is a multiple choice question. Context: Skylar told Alex how he felt after the fight.| Question: How would Alex feel as a result?| Option A: upset about the fight| Option B: angry about the fight| Option C: like he was informed. The correct answer is ,62,3
The following is a multiple choice question. Context: Cameron gave advice on how to play baseball to others.| Question: What will happen to Cameron?| Option A: teach people| Option B: play baseball games with each other| Option C: quit the sport. The correct answer is ,59,2
The following is a multiple choice question. Context: kendall was a persistent person so he took another look.| Question: How would Kendall feel afterwards?| Option A: calm| Option B: wanting to win| Option C: persistent and determined. The correct answer is ,56,3
The following is a multiple choice question. Context: Jan drove back home from the party to go home and get on the computer.| Question: How would Jan feel afterwards?| Option A: a studious person| Option B: indifferent now| Option C: skilled now. The correct answer is ,61,1
The following is a multiple choice question. Context: Tracy paid all Addison's bills so that they did not have to worry about them.| Question: What will Tracy want to do next?| Option A: fight with Addison| Option B: make sure Addison didn't worry| Option C: talk with Addison. The correct answer is ,70,3
