prompt,prompt_len,target
"The girl counted the notes in a businesslike manner, secured them in her handbag, and rose. | The girl had counted the notes before burning them.",32,1
i came so close once just once i mean that's the only time i've ever been any anywhere near but i mean i it was i used to live out in Midland Texas i don't know if you've ever been out there but it's you know a real windy place | I haven't really ever been that close. ,73,0
"Suggestively, the horseshoe arch leading from the square towards the river is called El Arco de Sangre (Arch of Blood). | The Arch of Blood goes across the river.",36,1
Vrenna managed to slip into the attack of the black-garbed killer who attacked her. | Vrenna didn't want to get involved in the fight.,36,1
"Mossad, which employs about 1,200 people, now has difficulty competing with private-sector recruiters . Its early agents were well-educated, European-born cosmopolitans who ran the agency like an exclusive club. | To Mossad now it's hard to compete with private-sector recruiters, said the article.",69,0
"LeTourneau was the boy's teacher in both second and sixth grades, and he describes their relationship  When I was six or seven, she encouraged me in my drawing. | The boy improved his drawing skills and built a career out of it.",52,0
yeah and i also think that the uh fact that a lot of mothers are working today and that children are not bonded to the parents | Mothers don't work anymore and still don't bond with their children.,44,1
"Nearby, the church cloister, Clo?®tre Saint-Trophime, with its beautiful sculpted capitals on the pillars, is a haven of peace. | The church is not named after a saint. ",44,1
'Well.' I crinkled my face modestly. | I kept my face motionless.,18,1
"And layers I keep in a special hut, so they won't be stressed, because otherwise I will loose one egg per day. | I don't keep layer in a special hut, this means they are more stressed and I loose an egg a day if not more. ",58,1
The first priority of the Commission was resource development and the Commission led a sustained effort in the California legislature to obtain state funds to support the provision of civil legal services to lowincome persons. | The California legislature made it their priority to prevent any more spending on civil legal services for low-income persons.,61,1
A main point of this paper is that generalizability | Generalizability is discussed in the paper at length.,22,0
"It also conceals a Gothic masterpiece, the Sainte-Chapelle. | It has a masterpiece, the Sainte-Chapelle, that no one is allowed to see.",35,0
The colossal cheek of the little man!  | There was not cheek from the little man.,20,1
Anse broke the too long silence. | Anse remained quiet and let the silence continue even longer.,22,1
"that looks that was fairly comfortable yeah and it was why and Nolan Ryan pitched the first seven innings today and he gave up three runs in first inning and i said oh my God here we go again you know you know with two outs walk walk home run b ang we're down three to nothing | We are behind, but there is still a chance we can win.",75,0
and so it seems like i have plenty things to do and so i thought that if we got a pet that that would be just one more person | It seems like I have absolutely nothing to do.  ,42,1
The qa'a led to the family rooms. | There were no family rooms to be found.  ,22,1
"FDA estimates that the total burden hours annually will be 120,578 with 51,336 hours being a one-time burden. | The FDA says there will be  578 hours spent on this annually.",52,1
"Right now, coming into Big Rock well for water is a pinto that has killed three other stallions including a black I imported back in '60 and two of them were larger, heavier animals than he. | A pinto has murdered a number of other horses.",55,0
Sinatra then reportedly ripped the phone out of the wall and threw it across the room. | Sinatra threw a phone across a room.,28,0
This exquisite church was built by order of Czar Alexander III and his brothers during the late nineteenth century in memory of their mother. | The church was built by their mother for the brothers.,38,1
"But even if the set-top box is not the answer, Malone will just wait until the next one appears. | Malone will most likely not wait until the set-top box is released, because it is not the answer..",47,1
and so that kind of uh i don't know if it's been a deterrent or not because we have uh just started using it oh for the past year or so | We can tell you now that it has been a deterrent.,49,1
just eight years ago or something they're they're they're they're you know they're sort of in in good standing whereas you know um  i think | They're in poor standing right now.,47,1
He also said that EPA had created web sites for several rules that were used in conjunction with SBREFA panels to pull together information that commenters needed. | The websites for the rules were designed by the fda. ,46,1
"However, this isn't the place to be after dark. | This is a grea place to be after dark.",26,1
"To take one example, let's look at the first-day reports from the networks. | The first-day reports aren't an example of what I'm talking about.",39,1
"Although it is not a tourist attraction, the rock is steeped in tradition. | The rock was the site for a famous execution a decade ago.",30,0
The drugs play on the inevitable--some say genetic--human desire for youth and immortality. | Humans don't care how old they get.,30,1
The introductory essay argues that war has been the central influence and organizing principle of the 20 th century. | An essay on human insanity.,30,1
anybody who plays the 49ers really | No one on the 49ers team.  ,23,1
oh you agree with Schwartzkopf who says uh Drive on into Baghdad | Schwarzkopf also said to invade Mosul. ,26,0
"No, her sire's Storm Cloud. | No, her sire's Lightning.",19,1
The Turkish army has responded with equal brutality. | Equal brutality has not been done by the Turkish army.,22,1
"But the value of Japanese manufacturing practices was, if anything, understated. | They have overstated the value of Japanese manifacturing practices.",29,1
One could argue that many mailers are getting First-Class service at Standard-A rates. | The mailers are only getting what they are paying for.,33,1
Headlines are supposed to emphasize the positive. | Headlines should always highlight the positive.,18,0
Not likely! | Extremely likely!,8,1
I can't help it. | The it that can't be helped is their tragic vamprism. ,24,0
A collection of stuffed birds and preserved butterflies sits alongside rock samples and Stone Age axes. | The axes that are alongside the butterflies are from Victorian times.,31,1
And this one's not free. | This one is for free. ,17,1
"They're not as frenetic, though, as on sister island Ibiza, where the mayhem is legendary. | In Ibiza they are calm and melliferous. ",35,1
Postal Service's rates for outbound international mail. | There are no extra rates associated with the Postal Service's outband international mail.,29,1
"We knew it wasn't real. | He knew it wasn't real, it was imaginary. ",23,0
You are sure of that? | I'm positive that was not correct.,17,1
"Current popular  The South Park palace and, you guessed it, porn sites. | Despite the latest controversy, the South Park Palace is popular. ",31,0
poorer and poorer over the years uh you know that there's been cost of living increases but not quite in proportion to cost of living and you know it's just more and more uh a real low income sort of job and very low prestige i mean there's that that old saying those who can do it and those who can't teach this is the way of let's make fun of the teachers those are the people who can't do anything and if you have that kind of social attitude it's | The old saying may make a mockery of the teaching profession to some.,122,0
"Thus, an effective performance management system can be a strategic tool for organizations to drive internal change and achieve external results. | Organizations tend to be more concerned with external results than internal change.",38,0
The Government Performance and Results Act of 1993commonly know as GPRA or the Results Actwas enacted to hold federal agencies accountable for achieving program results. | The GPRA wants to hold the agencies responsible.,45,0
"Henceforth, this column will refer to the show as This Week until either Donaldson or Roberts wins top billing. | Donaldson has a better chance of winning top billing.",34,0
"During the Casino's heyday, the pedestrian Calle de la Plateraa (Street of Silversmiths), at right angles to the Traperaa, was full of practising craftsmen. | The craftsmen had brought their expertise and their willingness to work hard.",52,0
Other sectors in which increasing returns to both production and consumption prevail--and there are quite a few outside what is normally thought of as high technology--do not seem especially admirable. | Sectors that have a prevalence of increasing returns in 5 fields is very admirable. ,54,1
"Following the conclusion of negotiations of the Agreement, the FCC revised its proposed rule and published a Further Notice of Proposed Rulemaking on July 29, 1997. | The proposed rule was amended.",44,0
um well it's before they had that | It was way after they had that.,19,1
all right i'm uh live in Plano Texas and uh um | I have never been to Texas before.,23,1
Tuppence shook her head. | Tuppence's head stayed completely still.,19,1
So who wins Round Two? | Who won the second round?,14,0
but not in the summer | It should work this Fall.,13,0
"In our own time, during the Cold War, when we were so concerned about being in competition with the Soviet Union, very often we dealt with countries in Africa and in other parts of the world based more on how they stood in the struggle between the United States and the Soviet Union than how they stood in the struggle for their own people's aspirations to live up to the fullest of their God-given abilities. | We won the Cold War competition against the Soviet Union.",96,0
"' It would cost me five saltcoins to buy one of the fish, but five was better than twelve. | The saltcoins were worth every saltcoin that was charged. ",37,0
"Jon had never bothered to learn their names. | Jon felt he was better than the rest of the team, so he didn't even take the time to ask them their names. ",39,0
EPA did not identify any other statute or executive order imposing procedural requirements relevant to this rule. | Four additional statutes were identified by the EPA.,29,1
"The yeoman, or statesman, economy thrived for some 300 years, but with the rise in automation brought by the Industrial Revolution in the late 18th century, the demand for hand-crafted goods such as cloth plummeted machine-produced goods were more plentiful and considerably less expensive. | After the Industrial Revolution, statesmen were forced to take jobs as factory workers.",78,0
"'Listen, Mr. Franklin, you have to understan-' | No one wants Mr. Franklin to understand anything. ",26,1
"(believed to bring good luck for the coming year, having burned away the transgressions from the previous one). | Bad luck comes from continuing to sin.  ",34,0
"The famed marketplace of Cairo Khan El-Khalili still buzzes with the atmosphere of a medieval souk and it makes a good place to start your tour, though do return as the sun drops and the lights come on because the atmosphere is palpable. | Cairo Khan El-Khalili is  not only a famous marketplace, but also a good spot to begin your tour.",76,0
uh-huh and um also they have these uh wasp the the um larvae is that what it's called wasp wasp larvae | Don't use wasp larvae. ,35,1
yeah yeah they they vary from university not just state to state university | There are variations in universities.,21,0
Sister is very sorry.  | Sister is so sorry. ,14,0
The World Windsurfing Championships have been held here in August for the last several years. | No competition is held here ever.,26,1
yeah the Texas Rangers they they lost i think | I am not certain but one of them lost that day.,23,0
i think there's a problem too with teachers trying to um to be so versatile that they do lose sight of the basics you know they've been a big drive in especially in the seventies to return back to the basics | In the seventies there was a big drive to move away from the basics. ,63,1
"Regression analysis of carrier street data indicates that at the current volume, the variability of access cost is about 6 percent. | 6 percent is the variable for the access cost.",37,0
"By now, we've turned the White House itself into a kind of clanking ghost of presidents past, its very rooms suffused with the great spirits of those who slept there. | We've turned the White House into a ghost of presidents past, with its rooms full of the great spirits who slept there.",65,0
To slide down the loft ladder was again nearer instinct than planned action. | The slide down the loft ladder was well thought out and not based on instinct.,32,1
The Assets for Independence Act of 1998 authorized federal funding for a 5-year demonstration project to evaluate the effectiveness of matching incentives for low-income savers. | The Assets for Independence Act of 1998 authorized funding to states that wanted to leave the Union.,60,1
"As an example of her broad appeal, she is the all-time bestselling author in France, with over 40 million copies sold in French (as of 2003) versus 22 million for Emile Zola, the nearest contender. | Her novels sell well in French, but they don't sell well in any other language. ",73,0
Death brings at least an end to those troublesome appetites and may open the way to something better--he doesn't say what. | Death ends troubles but opened up something better and unknown. ,40,0
"This, along with his leadership skills, had a lot to do with my support for his candidacy. | His ability to lead was a factor in him gaining my support. ",36,0
The board overseeing the state Office of Crime Victim Reparations [CVR] has voted to deny a stopgap funding request from the two organizations. | The board approved stop gasp funding to the organizations ,42,1
"After all, it's heads you become wealthy beyond the dreams of avarice, tails you get some bad press (and lose the money you yourself put in--but when you are allowed to make a trillion-dollar gamble with only $2. | It's a 50/50 shot of making millions that will only cost you $2000.",77,1
well isn't isn't Sleeping with the Enemy isn't that a is is it is it a terror movie or is it just suspenseful | SLeeping with the enemy was uneventful and boring,44,1
Organisation for Economic Co-operation and Development. | The organization dealt with economic investment. ,19,1
"In fact, in 1930, after 37 years of service, the train exploded, killing a number of people. | After only one year of running, the train exploded.",41,1
i bet it likes chicken though | I know it hates chicken.,14,1
yeah my the older i get the less i like the cold up here i'll tell you  i think that i think that uh you know it just takes it's toll and uh and uh | I used to love the snow when I was younger.  ,54,0
"--DeParle's big concluding anecdote is the story of Michelle Crawford, a 39-year-old Milwaukee woman who went to work last year at a plastics plant, after two decades of desperation and chronic dependence on welfare. | DeParle told the story of Michelle Crawford, who quit working at the plastics plant. ",69,1
Normandy's capital suffered devastating bomb damage in 1944 and many buildings have since been lovingly restored or reconstructed. | None of the damaged buildings were repaired after 1944.,42,1
"Unlike last night's performance, which ended abruptly, tonight's format allowed for 20-second-long conclusions, speed-speeches that recalled the great Monty Python summarize Proust contest. | The speeches continued all day.",48,1
Panic replaced his feeling of relief. | He suddenly felt very panicked.,15,0
"As a satisfactory graphic is developed for one site, the evaluators turn to the next site. | No satisfactory graphics were developed.",27,1
"Many policies are implemented and, to some extent, enforced by technical controls, such as logical access controls that prevent individuals from reading or altering data in an unauthorized manner. | Technical controls are never used to implement and enforce policies.",46,1
uh it too is one those you know  in the interest of efficiency we all have to find ways and i do most of my reading in the bathroom | I never read in the bathroom because it's unsanitary.,46,1
"Do you have a blacksmith?"" asked Jon. | Jon was wondering if you have a blacksmith because he needs a sword.",25,0
"Thousands of low-income residents throughout the San Fernando Valley face exploitation in the workplace -- overtime without pay, long hours without breaks, earnings below the minimum wage. | Despite being low-income, residents in the San Fernando Valley have no history of being exploited.",53,1
Once he took a year off to sell real  He hated it. | He hated to sell real estate.,23,0
"Twenty three leading institutes all over the world, including the New Contagious Diseases Research Centre were busy working on the vaccine's development. | Only one institute in the whole world was working on developing the vaccine.",44,1
well i i uh when i first started out teaching it was uh at college level and then uh after we moved here to Dayton then i went to the high school level i really enjoyed that more and so then i taught the physical education actually uh with the i was the specialist in water safety and uh so i taught uh the  the physical education | I taught physical education at the college level. ,80,1
"Hardly a minute elapsed, however, before the door opened, and a tall man with a lean hawklike face and a tired manner entered the room. | A tall man entered the room after about a minute.",44,0
They last for about six weeks. | They only last for around six weeks before they start to rot.,22,0
"That's very high. | Wow, that's low.",15,1
Table 1: Comparison of Mode of Delivery by Route in France and the U.S. | The table shows how delivery differns between France and the US.,34,0
Bob Dylan is in the hospital with a chest infection. | Bob Dylan has never gotten sick before in his life.,24,1
"Quieones Miller says that, though Johnson's reputation in Harlem was mixed, he was known for taking care of the  Bumpy made the Italians give money to neighborhood charitable organizations. | Miller says that Johnson was known for giving Germans money for their charities.",54,1
but uh i also but then on the other extreme i like to read uh i guess horror i don't know horror Steven King type books | I only read non-fiction books.,38,1
"EPA included small entities (from both government and business) in focus groups, public hearings, seminars, and meetings to develop this rule. | The EPA developed this rule in isolation, without external input.",41,1
Obituaries recalled his career as a hard rock drummer (he was better known as Cozy) and did not mention the retired U.S. general who bears the same name. | He was a retired general as well as a drummer.,48,1
what kind of questions did you ask about that private sitter before you took her over there | Why didn't you ask the sitter any questions?,30,1
Nearly ten times our height. | They are all midgets.,14,1
but us i mean we still we live more or less like you and our kids are grown up and they're gone so it's just the two of us and uh we tend to go out maybe once a week maybe once every other week something like that but we'll we'll go out for uh | We still have young children living at home.,74,1
Establish and share best practices. | Determine the optimal practices and get involved in them.,18,0
"a or a Long John Silver's or any of those once in a while not often but once in a while | We hate places like Long John Silver's, and never go to any of them. ",44,1
"More importantly, it reminds us that racial identity is utterly malleable--and that racial essence is utterly artificial. | It tells me racial identity can change a lot depending on where you live.",39,0
and what exactly are they going to do | What are they eating for breakfast?,17,1
"Moreover, assessment of financial condition could include analysis of trends, demands, commitments, events, and uncertainties. | Assessment of financial condition includes an analysis of how many in the department prefer cake to pie.",41,1
and and we did aerobics together for about a month and a half and that went over real well but uh that's about it there | We never had a chance to do aerobics together.,41,1
um some some later proof sets because they have a slight error in them are are worth hundreds of dollars you know and and the coins themselves aren't worth very much at all face value basically | Some of the sets are worth a lot of money because of the errors they contain.,57,0
"I happen to know for a fact that, far from being in love with her, he positively dislikes her."" | He does not enjoy her presence.",31,0
"Mister Kells, he keeps ledgers over in th' tack room. | Mister Kells never keeps a ledger at all.  ",28,1
Bush spends a full chapter attempting to defuse a potential Democratic issue by explaining why he vetoed an HMO reform bill in Texas. | Bush felt no need to explain his decision to veto the HMO reform bill in Texas.,45,1
"Thousands of writers bring suit each year claiming their copyright has been violated, but almost none win satisfaction in court. | Of the thousands of writers that sue each year, only a few are disappointed by the court",42,1
"But as I sat alone in my bed, reading over all those great stories of all those great men, I couldn't help wonder...what were they like? How did they live? How close were they to the legends they inspired? The Founders- they had a whole mountain carved out in their image. | I sat alone in my bed at my parent's house and wondered about the people in the stories.",85,0
how many did you get did you get two are they male or female does that make a difference | The males tend to be smaller than the females.,31,0
"And in the poem's final image of the Holy Ghost at the brown brink eastward appears as the sun rises in a spectacular dawn, including the brown sky of coal-fueled industrial terrain--a vision of godhead as sunrise in smog. | The poem is about soccer.",57,1
"and my wife who works at the same company was able to add me to to the uh dental insurance | If it wasn't for my wife, I wouldn't have dental insurance.",39,0
yeah well i tell you what i'm a kind of uh a history nut i'm trying to think back now i read an awful lot of uh periodicals and uh you know almost what you call reference book and uh the last uh  i'm embarrassed to say the last you know honest to gosh cover to cover book that i read i cannot | I don't read books about history at all.,83,1
"Ferries arrive at Linaria on the east coast, and in pastures around the village it is possible to see the last examples of the famed Skyrian miniature horses. | There are gigantic horses in the pastures of Linaria.",46,1
"The military is (theoretically) a nonpolitical institution, but as soon as the operation went south, the military abandoned its nonpolitical faaade to protect itself. | The military became partisan because it hoped to receive additional funding.",47,0
"Susan remembered none of it, however, and Jon knew he would never have her do it again. | Susan knew every detail of the past.",30,1
"However, it is not clear how long this initial openness to change lasts. | They were very clear how long the changes would last.",28,1
That's Bradley's real casting couch. | That is not Bradley's real casting couch.,22,1
But it was only Eisner's recognition that a brand has to be updated and nurtured if it's to flourish that made those decisions so obvious. | Eisner did not recognize that brands need to be update if they are to flourish.,50,1
"The Securities and Exchange Commission (SEC) stated in its report to us that it was not required to prepare, and did not prepare, a cost-benefit analysis of the rule. | The cost-benefit analysis was never prepared because the SEC stated in a report that it was not required.",59,0
"Huge papers, the Houston Chronicle for instance, didn't send a staff writer. | Every major newspaper sent multiple staff writers.",27,1
"As American multinationals ship their production overseas, the likelihood of getting business to support an import tariff (which would now tax their own imports) becomes equally small. | The fat-cats in power are only interested in profit, so they'll ship our jobs out to cheaper countries, and then enjoy skimming off a hefty tariff on imported goods.",71,1
"(Financial Accounting Standards Board, Statement of Financial Accounting Standards No. | Financial accounting standards",18,0
"Bauerstein!"" I whispered.  | I was looking for Bauerstein.",16,0
Business as usual. | Business is the same as always. ,14,0
"Table 3.4 summarizes the design, data collection, analysis, and reporting features of program implementation case studies. | Table 3.4 deals exclusively with data collection.",36,1
"Whatever surprises Arquette might once have had are long gone; the only thing mysterious about her is those long, distracting fangs. | Arquette has a lot of things going to her but having her fangs removed is the best one. ",48,1
"Over the nave, the two hollow pyramids appear to be designed in the style of chimneys for a castle kitchen. | There are two hollow pyramids made of brick.",33,0
"In 1635 the Japanese were forbidden, on pain of death, to attempt to travel abroad, and Japanese citizens already overseas were prevented from returning, in case they brought back subversive Christian doctrines. | There were no punishments for Japanese people who attempted to leave Japan in 1635.",62,1
"The Government Performance and Results  1997 Governmentwide Implementation Will Be Uneven (GAO/GGD-97-109, June 2, 1997). | The performance goals will save the government $50 billion.",55,0
Airplanes stayed airborne and ATMs dispensed cash as usual. | Nothing in the world changed drastically overnight.,21,0
Case Study in Comparative  Particularity and Generalizability. | The Case Study does not address Generalizability.,22,1
demand is due to | there is no demand,10,1
"When is the southern torrent stilled?"" asked Jon to Ca'daan. | Ca'daan inquired about the torrent.",25,1
"Back on Planet Earth, Clinton won, by a bigger margin than he did last time around, and with the help of a gender gap that Republicans have no idea how to close. | Clinton won by an even larger margin than he did the year before.",52,0
Frequent  special  evenings with theme entertainment. | There are special evenings with great entertainment.,20,0
He wondered if this recommendation was the appropriate place. | He needed to be sure the recommendation was right ,22,0
Barbados or Jamaica or something like that | It could be Barbados or Jamaica,15,0
(I also found it slow-loading and buggy.) | It loaded slowly.,17,0
okay well thanks for talking | Thank you for the talk about mortgages.,15,0
It is certainly not because he failed to get most of his policy proposals adopted. | All of his policies were adopted.,25,1
"well how about Kindergarten Cop | Kindergarten Cop was the only solution, do you have any opinions?",20,0
"Got Old Tar when he turned up in a wild-hoss corral th' mustangers set over in th' Red River country "" | Old Tar went to Red Rock country.",37,1
just take all these civil service employees and and uh uh take some of those holidays away from them like Columbus Day President's Day | Civil service employees get way too many paid holidays and we need to take some of them back. ,48,0
"And because you're buying options, you're left with nothing. | You're left with nothing given that you're buying options, said the economist.",35,0
and we we sort of have to get accustomed to the fact that our body temperature is thirty seven degrees centigrade  yes | Our body temperature is not 39 C.,36,1
"After Democrats lost the House, the NEA budget was cut in half. | The budget was slashed when Democrats lost the house.",26,0
for better weather we might consider that next winter i'm not | We might consider that next winter for the sake of better weather.,28,0
"Not Mr. Lawrence ”Mr. John."" Behind me, with a wild cry, Mary Cavendish fell heavily against me, and as I turned to catch her I met the quiet triumph in Poirot's eyes.  | Poirot was happy about what had happened.",55,0
okay what do you usually wear to work | What do you wear to your job?,18,0
A good case study presents the findings and conclusions for other studies on the same issue. | Conflicting case studies can provide even more insight than those that confirm the current study's findings.,39,0
"In Tivoli itself, overlooking the Roman plain, the Villa d'Este is a 16th-century counterpart, celebrating all the extravagance of the late Renaissance. | The Renaissance's extravagance is celebrated in the Villa d'Este.",49,0
And the wind was caused by the great rising column of superheated gases over the sun. | The superheated gases caused the wind to howl.,30,0
"Steve Forbes intends to advertise on day trading and investment sites, where people who might vote for him are likely to be found. | Steve Forbes' voters are usually on trading and investment sites.",39,0
and uh boy after a few years of sitting down and then going to that camp as a camper this time i couldn't even do what i used to do | I had spent about three years without any exercise.,44,0
you're fading away Jim | Jim was getting harder to hear.,15,0
"My blood is needed for--""  ""For spells that won't work anyhow,"" he told her harshly. | My blood is rare and required for ancient spells.",34,0
"Protest against overcrowding, antiquated teaching, bureaucracy, and the very basis of the social system made the Sorbonne a focal point for unrest in 1968, a year of ferment throughout Europe. | Sorbonne was known as a communist hotbed in France since the days of Lenin.",57,0
"Competitors simply run up and down the side of a fell, taking obstacles like bogs, streams, and rocks in their stride. | Sometimes competitors trip over rocks while they are running.",38,0
"Thorn led them into a copse of dead trees, thick branches clutching for life in a canyon that provided none. | The canyon was filled with lively green trees with bountiful branches. ",39,1
"Visitors can choose to stay in cosmopolitan Strasbourg, picturesque Colmar, or hillside villages, and can eat in cozy winstubs (wine bars) or stylish restaurants (Alsace has more Michelin stars than any other province in France). | The reason Alsace as more Michelin stars than other French provinces is because there are more fine dining restaurants.",66,0
Of course he had seen very little of Hunt Rennie at the Stronghold; his father had ridden south on patrol with his own private posse shortly after his own arrival there. | Hunt Rennie and his men all rode black stallions to match their uniform. ,55,0
"The Royal Museum has displays devoted to anthropology, archaeology, natural sciences, and technology. | There are only art exhibits at the museum. ",29,1
"Tudjman, who is fond of Il Duce-type uniforms, rigged the parliamentary elections so that his nationalist party, HDZ, could not lose. | Tudjman likes II Duce-type uniforms that are black and green.",50,0
yeah it would yeah no not at all you know the wheels of justice grind slowly | Sometimes it takes time to receive proper justice.,27,0
not very much they | Lots and lots.,10,1
"They never found Vrenna's sword, nor her body. | The body was hidden along with the weapon.",25,0
"Then he tried it and asked the manager to do the same. | He never invited the manager to try it, because he wanted it all for himself.",32,1
"I guess I was just a mite hasty, but I've been feeling bad about this money question. | I'm not sure about how much this will cost. ",36,0
"I know that Fieldstone is interested in finding a workable resolution, said Adam Bass, a lawyer for the company, adding that he can't comment on the details of the Ledford loan. | Fieldstone wants to find a workable resolution.",50,0
'Especially modern trains.' | Especially old trains.,11,1
We must be careful not to employ screening techniques that do not address important subgroups. | We need to ensure that the methods we are using to filter are not excluding relevant subgroups.,36,0
"It cannot be a low cost, efficient provider of service. | The service provider must be expensive and inefficient.",23,0
"Watched over by crows, pigeons, and parakiats and some rare birds, which will doubtlessly be of interest only to ornithologists are a number of temple-like memorials built on the site of the maharajas' funeral pyres, and a colonnade of Hindu god-heroes. | There are different types of birds in the memorials.",70,0
"Garibaldi's Expedition of 1,000 to Sicily/Naples | over 1,000 went to italy",29,0
"The landmarks are the air force headquarters (a modern copy of El Escorial) and Madrid's youngest triumphal arch, which commemorates the Franco victory of 1939. | The landmarks commemorate nothing.",45,1
Officials of the audited organization are responsible for resolving audit findings and recommendations directed to them and for having a process to track their status. | The status is an important piece of information.,37,0
"The most famous is in Santiago de Cuba (which has sprung many a star), while those in towns like Trinidad, Baracoa, and Camageey are especially charming. | Santiago de Cuba is home to the most well known one.",48,0
"i feel like i'm getting a little better of a workout and i'm losing more weight on this  than i had on the other and my legs you know how okay i'm going to turn forty this summer i was getting all  dimpled up | My workout stinks, I'm gaining weight. ",67,1
i've been close uh was in Detroit one time just right across the river from Windsor | I've never been to Detroit.,28,1
well no actually and i was until i was eight i lived in in in south uh western Georgia and then we moved over into central part of Alabama | I lived in western Georgia until I was 8,41,0
um-hum oh yeah baseball is there is there life up there like football is down here i think | Baseball earns it players more money than football does.,32,0
Net national saving | Net federal saving,8,0
"View the lake from the uppermost of the ten terraces, by the unicorn statue that is the Borromeo family emblem. | You should observe the lake from the highest terrace near the unicorn statue.",39,0
"During his 15 minutes, now thankfully past, he was not in a position to advise anyone to avoid the cameras. | During 15 long minutes that he savored, he repeatedly advised his colleagues to avoid the cameras.",48,1
"In the early years of Christianity a strong churc h the Coptic'was established in Egypt, and it flourished in this area, now south of the city center. | The Coptic church has over 10 million followers in Egypt.",50,0
i got the i talked to the owner and he said that the best thing to do if i wanted to save money was uh | I talked to the sales assistant and he told me how to save my money. ,44,1
"During the Rev?­o?­lu?­tion, all evidence of luxury was stripped from the palace interior, but the structure itself proved stronger than its assailants and today it hosts major productions during the annual festival. | Luxury is still depicted on the palace's exterior. ",58,0
"A gilded Garuda, in his usual namaste pose, kneels on a pillar before the temple. | Garuda is the guardian of this temple.",30,0
"Madeira's discoverer, Zarco, is buried beneath the altar, but the memorial to him vanished long ago. | Founder of Madeira had a memorial, but over time it has vanished. It is thought to have been washed away by he sea.",53,0
"Hence Whitehead's argument, repeated in several venues, that the ruling would discourage sexual harassment victims from coming forward. | Hence Whitehead supports sexual harassment.",31,0
oh see there you go | You have a long way to go.,15,1
I touched my knee. | I touched my nose.,12,1
But he won't be needed this trip. | He will be absolutely essential for this trip.,21,1
"From Blois, follow the N152 along the right bank of the Loire before croseng over to Amboise for a brief look at the exterior of the chateau that housed many of France's kings. | Follow the bank of the Loire East from Blois if you'd like to visit the palace of the ruler of France during the reign of the Holy Roman Empire.",78,1
right well i you know i'm like i said i'm i'm very much pro testing um and and this is why | I am not protesting.,34,1
but i find that uh over over the years i've developed the ability to keep track of my uh workout and at the same time uh do some creative thinking while i'm swimming | I hate working out and never go swimming,47,1
"One of the more scenic is the five-mile River Mountain Trail, which offers fine views of both Lake Mead and the Las Vegas Valley. | The River Mountain Trail is 5 miles long and has lovely views.",44,0
but i like uh i like the Giants i i kind of think they snuck into the championship this year this past year and and i'm not so sure  they'll get away with it again but | I think the Giants just barely made it into the championships this year.,58,0
We will also make copies available to others upon request. | Requesters will be able to obtain a maximum of two copies.,27,0
The way he played with the villager with the sword. | The villager was teaching the man how to fence.,23,0
"Look for fine Chinese bronzes, embroidery, lacquerware and porcelain, tomb figures, and wood carvings, among other possibilities. | There are no wood carvings or tomb figures to find.",38,1
But what is this awesome thing--the charismatic in music? | What is this charismatic characteristic in music?,22,0
yeah i'm not sure | I am certain of it.,14,1
Nahariya is a quiet beach resort with fine white sands and good leisure facilities. | Nahariya has awful leisure facilities.,25,1
"They moved slowly along the path, keeping their eyes front. | They looked forward to the church as they moved slowly and quietly down the path. ",31,0
"The basic financial statements in financial reports prepared pursuant to the Chief Financial Officers Act, as amended, are called the principal financial statements. | The principal financial statements are handled in accordance with the Chief Financial Officers Act.",43,0
"Nonetheless, Exhibit 19 illustrates how our estimates of the number of premature mortalities in the Base Estimate might change under a range of alternative assumptions for a PM mortality threshold. | Exhibit 134 shows the number of births is affected by the PM mortality threshold. ",56,1
"Critics just don't matter as much as they used to, and Maslin--though she's still at the top of the heap, influence-wise--is no exception. | Maslin only has some influence.",46,0
I believe not. | There wasn't any reason to think otherwise.,16,0
I read Slate because the articles are stimulating. | I do not know how to read.,19,1
it's funny how your little minds work isn't it oh | The mind of a child is an ever changing thing.  ,28,0
"They handle the day-to-day operations, while Rooney commutes to New York and does pro bono work for schools and community organizations. | Rooney handles most of the operations, while the rest travel.",42,1
"But in the preceding 333 pages, derived from notes taken during his four years in office, we have the picture of an angry and unhappy man. | In the next 333 pages sourced from notes, we see an unhappy and angry man.",54,0
uh i heard uh someone uh supposedly an authority saying speaking on TV saying that the interest rate as we have known it in the past will never be the that high again and he was speaking in senior citizens living on their incomes of from interest CD interest and that sort of interest i think the voting block of senior citizens is a tremendous voting block too but every voting block is slapped and toward their own special interest and i think that makes it doubly difficult to make a change i guess i'm saying we're all selfish | The interest rate will probably never be that high again.,116,0
"'What you're suggesting...it's very, very, very illegal.' | You are suggesting that we sell illegal drugs. ",29,0
"Most of Higashi-Honganji is closed to the public, but the main hall and founder's hall, rebuilt in 1895 after repeated fires, are notable for the rather groseropes of human hair fashioned from donations by female worshippers to haul the temple's pillars into position. | The main hall and founder's hall was rebuilt in the year 2003.",83,1
"What time is it?  | I don't know what time is it, said the man at the bus stop.",26,0
Didn't have anythin' to go back to there. | Didn't have anything to return to there.,25,0
"Thereafter, Chinese settlement was discouraged and did not achieve the commercial dominance it enjoyed on the peninsula. | The Chinese settlement on the peninsula was discouraged.",31,1
The church has survived to the present day. | The church does not stand today. ,19,1
